key,English/reference,한국어,日本語,français (France),português (Brasil),review_type,human_reviewer,human_notes
자세한 내용 (선택),자세한 내용 (선택),,詳細（任意）,Précisions (facultatif),Detalhes (opcional),AI linguistic pass; human review pending,,
잔잔,Steady,잔잔,穏やか,Calme,Tranquilo,AI linguistic pass; human review pending,,
저장,Save,저장,保存,Enregistrer,Salvar,AI linguistic pass; human review pending,,
전체,All,전체,すべて,Tout,Tudo,AI linguistic pass; human review pending,,
전체 보기,See all,전체 보기,すべて見る,Tout voir,Ver tudo,AI linguistic pass; human review pending,,
점수 %lld,점수 %lld,,スコア%lld点,Score : %lld,Nota: %lld,AI linguistic pass; human review pending,,
점수 기준,점수 기준,,スコアの基準,Barème,Critérios de pontuação,AI linguistic pass; human review pending,,
점수 더 보기,점수 더 보기,,ほかのスコアを見る,Voir plus de scores,Ver mais notas,AI linguistic pass; human review pending,,
점수와 이유가 홈에 공개돼요,Your score and note will appear on Home,점수와 이유가 홈에 공개돼요,スコアとメモがホームで公開されます,Votre score et votre note seront publics dans Accueil,Sua nota e anotação ficarão públicas no Início,AI linguistic pass; human review pending,,
점수와 한 줄로 오늘을 남겨보세요,Capture today with a score and a note,점수와 한 줄로 오늘을 남겨보세요,スコアとひとことで今日を記録しましょう,Gardez une trace du jour avec un score et quelques mots,Registre hoje com uma nota e algumas palavras,AI linguistic pass; human review pending,,
정신건강 상담전화 **1577-0199**,정신건강 상담전화 **1577-0199**,,韓国のメンタルヘルス相談 **1577-0199**,Soutien psychologique en Corée du Sud : **1577-0199**,Apoio em saúde mental na Coreia do Sul: **1577-0199**,AI linguistic pass; human review pending,,
정치,Politics,정치,政治,Politique,Política,AI linguistic pass; human review pending,,
제안 수정,제안 수정,,提案を編集,Modifier la proposition,Editar sugestão,AI linguistic pass; human review pending,,
제안을 보냈어요,제안을 보냈어요,,提案を送りました,Proposition envoyée,Sugestão enviada,AI linguistic pass; human review pending,,
제안을 불러오는 중…,제안을 불러오는 중…,,提案を読み込み中…,Chargement des propositions…,Carregando sugestões…,AI linguistic pass; human review pending,,
제출,제출,,送信,Envoyer,Enviar,AI linguistic pass; human review pending,,
제출 중…,제출 중…,,送信中…,Envoi…,Enviando…,AI linguistic pass; human review pending,,
종류,종류,,種類,Type,Tipo,AI linguistic pass; human review pending,,
좋아요 저장에 실패했어요. 다시 시도해주세요.,Couldn't save your like. Please try again.,좋아요 저장에 실패했어요. 다시 시도해주세요.,いいねを保存できませんでした。もう一度お試しください。,Impossible d’enregistrer la réaction. Réessayez.,Não foi possível salvar a curtida. Tente de novo.,AI linguistic pass; human review pending,,
주식,Stocks,주식,株式,Bourse,Ações,AI linguistic pass; human review pending,,
지금,Now,지금,今,À l’instant,Agora,AI linguistic pass; human review pending,,
지금 뜨거운 토픽,Hot topics now,지금 뜨거운 토픽,今、注目のトピック,Sujets du moment,Assuntos em alta,AI linguistic pass; human review pending,,
직장,Work,직장,仕事,Travail,Trabalho,AI linguistic pass; human review pending,,
질문의 종류와 출처,질문의 종류와 출처,,質問の種類と出典,Type de question et source,Tipo de pergunta e fonte,AI linguistic pass; human review pending,,
차단하면 이 사용자의 반응이 즉시 보이지 않습니다. 상대에게는 알려지지 않습니다.,차단하면 이 사용자의 반응이 즉시 보이지 않습니다. 상대에게는 알려지지 않습니다.,,ブロックすると、この人の反応はすぐに非表示になります。相手に通知されません。,Les réactions de cette personne seront immédiatement masquées. Elle ne sera pas avertie du blocage.,As reações dessa pessoa serão ocultadas imediatamente. Ela não será avisada do bloqueio.,AI linguistic pass; human review pending,,
차단한 사용자,차단한 사용자,,ブロックしたユーザー,Personnes bloquées,Pessoas bloqueadas,AI linguistic pass; human review pending,,
차단한 사용자가 없습니다,차단한 사용자가 없습니다,,ブロックしたユーザーはいません,Aucune personne bloquée,Nenhuma pessoa bloqueada,AI linguistic pass; human review pending,,
참여가 시작되면 질문과 점수 기준은 바꿀 수 없어요.,참여가 시작되면 질문과 점수 기준은 바꿀 수 없어요.,,参加が始まると、質問とスコアの基準は変更できません。,La question et le barème ne peuvent plus être modifiés après la première participation.,A pergunta e os critérios não podem ser alterados depois que a participação começar.,AI linguistic pass; human review pending,,
철회,철회,,取り下げる,Retirer,Retirar,AI linguistic pass; human review pending,,
첫 댓글을 남겨보세요.,Be the first to comment.,첫 댓글을 남겨보세요.,最初のコメントを残してみましょう。,Laissez le premier commentaire.,Deixe o primeiro comentário.,AI linguistic pass; human review pending,,
첫 점수를 남겨보세요,첫 점수를 남겨보세요,,最初のスコアをつけてみましょう,Donnez le premier score,Dê a primeira nota,AI linguistic pass; human review pending,,
최고 기록,Best record,최고 기록,最高記録,Meilleur record,Melhor marca,AI linguistic pass; human review pending,,
최근 반응,Recent reactions,최근 반응,最近の反応,Réactions récentes,Reações recentes,AI linguistic pass; human review pending,,
추천할 새 사용자가 없어요. 이미 다 팔로우 중!,No new users to suggest. You follow them all!,추천할 새 사용자가 없어요. 이미 다 팔로우 중!,新しいおすすめユーザーはいません。全員フォロー済みです！,Pas de nouvelle suggestion : vous suivez déjà tout le monde !,Nenhuma sugestão nova. Você já segue todo mundo!,AI linguistic pass; human review pending,,
출처 URL (선택),출처 URL (선택),,出典のURL（任意）,URL de la source (facultatif),URL da fonte (opcional),AI linguistic pass; human review pending,,
출처 URL (필수),출처 URL (필수),,出典のURL（必須）,URL de la source (obligatoire),URL da fonte (obrigatório),AI linguistic pass; human review pending,,
출처 보기,출처 보기,,出典を見る,Voir la source,Ver fonte,AI linguistic pass; human review pending,,
취소,Cancel,취소,キャンセル,Annuler,Cancelar,AI linguistic pass; human review pending,,
카테고리,카테고리,,カテゴリー,Catégorie,Categoria,AI linguistic pass; human review pending,,
커뮤니티 제안,커뮤니티 제안,,コミュニティからの提案,Proposition de la communauté,Sugestão da comunidade,AI linguistic pass; human review pending,,
커뮤니티 제안 · 게시 미리보기,커뮤니티 제안 · 게시 미리보기,,コミュニティからの提案 · 投稿プレビュー,Proposition de la communauté · Aperçu,Sugestão da comunidade · Prévia,AI linguistic pass; human review pending,,
코인,Crypto,코인,暗号資産,Crypto,Cripto,AI linguistic pass; human review pending,,
탐색,Explore,탐색,見つける,Explorer,Explorar,AI linguistic pass; human review pending,,
탭해서 계속,Tap to continue,탭해서 계속,タップして続ける,Touchez pour continuer,Toque para continuar,AI linguistic pass; human review pending,,
테크,Tech,테크,テクノロジー,Tech,Tecnologia,AI linguistic pass; human review pending,,
토픽 %lld,Topics %lld,토픽 %lld,トピック %lld件,Sujets : %lld,Assuntos: %lld,AI linguistic pass; human review pending,,
토픽 검색,Search topics,토픽 검색,トピックを検索,Rechercher un sujet,Buscar assuntos,AI linguistic pass; human review pending,,
토픽 또는 사유 검색,Search topic or reason,토픽 또는 사유 검색,トピックや理由を検索,Rechercher un sujet ou une raison,Buscar assunto ou motivo,AI linguistic pass; human review pending,,
토픽 보기,토픽 보기,,トピックを見る,Voir le sujet,Ver assunto,AI linguistic pass; human review pending,,
토픽 신고 또는 제안자 차단,토픽 신고 또는 제안자 차단,,トピックを通報、または提案者をブロック,Signaler le sujet ou bloquer son auteur,Denunciar assunto ou bloquear autor,AI linguistic pass; human review pending,,
토픽 제안,Suggest a topic,토픽 제안,トピックを提案,Proposer un sujet,Sugerir assunto,AI linguistic pass; human review pending,,
토픽 제안 · %lld,Suggest a topic · %lld,토픽 제안 · %lld,トピックの提案 · %lld,Propositions de sujets · %lld,Sugestões de assuntos · %lld,AI linguistic pass; human review pending,,
토픽에 대한 점수와 의견이 이곳에 모여요,토픽에 대한 점수와 의견이 이곳에 모여요,,このトピックのスコアと意見がここに集まります,Les scores et les avis sur ce sujet apparaîtront ici,As notas e opiniões sobre este assunto vão aparecer aqui,AI linguistic pass; human review pending,,
통계,Stats,통계,統計,Statistiques,Estatísticas,AI linguistic pass; human review pending,,
통계 공유,통계 공유,,統計を共有,Partager les statistiques,Compartilhar estatísticas,AI linguistic pass; human review pending,,
팔로우,Follow,팔로우,フォロー,Suivre,Seguir,AI linguistic pass; human review pending,,
팔로우 상태 저장에 실패했어요.,Couldn't save the follow.,팔로우 상태 저장에 실패했어요.,フォロー状態を保存できませんでした。,Impossible de mettre à jour l’abonnement.,Não foi possível salvar quem você segue.,AI linguistic pass; human review pending,,
팔로워 %@ · 글 %lld,%@ followers · %lld posts,팔로워 %@ · 글 %lld,フォロワー %1$@ · 投稿 %2$lld件,Abonnés : %1$@ · Publications : %2$lld,Seguidores: %1$@ · Publicações: %2$lld,AI linguistic pass; human review pending,,
팔로잉,Following,팔로잉,フォロー中,Abonnements,Seguindo,AI linguistic pass; human review pending,,
팬 평균,Fan average,팬 평균,ファンの平均,Moyenne des fans,Média dos fãs,AI linguistic pass; human review pending,,
편집,편집,,編集,Modifier,Editar,AI linguistic pass; human review pending,,
평균 %lld,Avg %lld,평균 %lld,平均%lld点,Moy. %lld,Média %lld,AI linguistic pass; human review pending,,
평균 점수,평균 점수,,平均スコア,Score moyen,Nota média,AI linguistic pass; human review pending,,
표시할 사람이 없어요,No one to show,표시할 사람이 없어요,表示する人がいません,Aucune personne à afficher,Ninguém para mostrar,AI linguistic pass; human review pending,,
프로필 사진 변경,Change profile photo,프로필 사진 변경,プロフィール写真を変更,Changer la photo de profil,Alterar foto de perfil,AI linguistic pass; human review pending,,
프로필 편집,Edit profile,프로필 편집,プロフィールを編集,Modifier le profil,Editar perfil,AI linguistic pass; human review pending,,
피드를 불러오지 못했어요,Couldn't load the feed,피드를 불러오지 못했어요,フィードを読み込めませんでした,Impossible de charger le fil,Não foi possível carregar o feed,AI linguistic pass; human review pending,,
하루를 남기면 이곳에 흐름이 그려져요,하루를 남기면 이곳에 흐름이 그려져요,,記録をつけると、ここに日々の変化が表示されます,L’évolution de vos journées apparaîtra ici au fil des entrées,A evolução dos seus dias vai aparecer aqui conforme você registrar,AI linguistic pass; human review pending,,
학생,Students,학생,学生,Études,Estudos,AI linguistic pass; human review pending,,
한 줄 코멘트 · 선택,One-line comment · optional,한 줄 코멘트 · 선택,ひとことコメント · 任意,Commentaire court · facultatif,Comentário curto · opcional,AI linguistic pass; human review pending,,
함께 논의할 질문,함께 논의할 질문,,みんなで話したい質問,Question à discuter ensemble,Pergunta para discutir,AI linguistic pass; human review pending,,
함께 이야기하고 싶은 주제를 제안해 보세요.,함께 이야기하고 싶은 주제를 제안해 보세요.,,みんなで話したいトピックを提案してみましょう。,Proposez un sujet dont vous aimeriez discuter.,Sugira um assunto sobre o qual você gostaria de conversar.,AI linguistic pass; human review pending,,
해제,해제,,解除,Débloquer,Desbloquear,AI linguistic pass; human review pending,,
현재 연속 기록,현재 연속 기록,,現在の連続記録,Série en cours,Sequência atual,AI linguistic pass; human review pending,,
홈에 공유,Share to Home,홈에 공유,ホームに共有,Partager dans Accueil,Compartilhar no Início,AI linguistic pass; human review pending,,
확인,Done,확인,確認,OK,OK,AI linguistic pass; human review pending,,
계정이 삭제됐어요,Account deleted,계정이 삭제됐어요,アカウントを削除しました,Compte supprimé,Conta excluída,AI linguistic pass; human review pending,,
Apple 로그인 연결 해제가 아직 완료되지 않았어요. iPhone 설정의 Apple 계정 → Apple로 로그인 → Scoor에서도 연결을 해제할 수 있어요.,Apple sign-in access has not yet been revoked. You can also remove Scoor in iPhone Settings → Apple Account → Sign in with Apple.,Apple 로그인 연결 해제가 아직 완료되지 않았어요. iPhone 설정의 Apple 계정 → Apple로 로그인 → Scoor에서도 연결을 해제할 수 있어요.,Appleログインの連携解除がまだ完了していません。iPhoneの設定 → Apple Account → Appleでサインインから、Scoorの連携を解除することもできます。,L’accès via Apple n’a pas encore été révoqué. Vous pouvez aussi supprimer Scoor dans Réglages de l’iPhone → Compte Apple → Se connecter avec Apple.,O acesso pelo login da Apple ainda não foi revogado. Você também pode remover o Scoor nos Ajustes do iPhone → Conta Apple → Iniciar sessão com a Apple.,AI linguistic pass; human review pending,,
점수는 저장됐지만 홈 공유에 실패했어요. 다시 시도해주세요.,점수는 저장됐지만 홈 공유에 실패했어요. 다시 시도해주세요.,점수는 저장됐지만 홈 공유에 실패했어요. 다시 시도해주세요.,スコアは保存されましたが、ホームに共有できませんでした。もう一度お試しください。,"Le score est enregistré, mais le partage dans Accueil a échoué. Réessayez.","A nota foi salva, mas não foi possível compartilhar no Início. Tente de novo.",AI linguistic pass; human review pending,,
내용을 입력해주세요.,내용을 입력해주세요.,내용을 입력해주세요.,内容を入力してください。,Saisissez un message.,Digite uma mensagem.,AI linguistic pass; human review pending,,
대상을 찾을 수 없어요.,대상을 찾을 수 없어요.,대상을 찾을 수 없어요.,対象が見つかりませんでした。,Élément introuvable.,Item não encontrado.,AI linguistic pass; human review pending,,
부정적,부정적,부정적,否定的,Négatif,Negativo,AI linguistic pass; human review pending,,
긍정적,긍정적,긍정적,肯定的,Positif,Positivo,AI linguistic pass; human review pending,,
실시간,실시간,실시간,リアルタイム,En direct,Ao vivo,AI linguistic pass; human review pending,,
지금 뜨거움,지금 뜨거움,지금 뜨거움,今、話題,À la une,Em alta,AI linguistic pass; human review pending,,
급상승,급상승,급상승,急上昇,En hausse,Crescendo,AI linguistic pass; human review pending,,
지금 막 올라온 토픽이에요. 첫 반응을 남겨주세요.,지금 막 올라온 토픽이에요. 첫 반응을 남겨주세요.,지금 막 올라온 토픽이에요. 첫 반응을 남겨주세요.,新しいトピックです。最初の反応を残してみましょう。,Nouveau sujet. Laissez la première réaction.,Assunto novo. Deixe a primeira reação.,AI linguistic pass; human review pending,,
행복,행복,행복,幸せ,Bonheur,Felicidade,AI linguistic pass; human review pending,,
번아웃,번아웃,번아웃,燃え尽き,Épuisement,Esgotamento,AI linguistic pass; human review pending,,
외로움,외로움,외로움,寂しさ,Solitude,Solidão,AI linguistic pass; human review pending,,
고요,고요,고요,穏やか,Calme,Tranquilidade,AI linguistic pass; human review pending,,
회복,회복,회복,回復,Récupération,Recuperação,AI linguistic pass; human review pending,,
일,일,일,仕事,Travail,Trabalho,AI linguistic pass; human review pending,,
사랑,사랑,사랑,恋愛,Amour,Amor,AI linguistic pass; human review pending,,
인기,인기,인기,人気,Populaire,Popular,AI linguistic pass; human review pending,,
비슷한 기분,비슷한 기분,비슷한 기분,似た気分,Humeur similaire,Humor parecido,AI linguistic pass; human review pending,,
반대,반대,반대,反対,Contre,Contra,AI linguistic pass; human review pending,,
찬성,찬성,찬성,賛成,Pour,A favor,AI linguistic pass; human review pending,,
로그인은 완료됐지만 가입을 마무리하지 못했어요. 다시 시도해 주세요.,"You’re signed in, but we couldn’t finish setup. Please try again.",로그인은 완료됐지만 가입을 마무리하지 못했어요. 다시 시도해 주세요.,ログインできましたが、登録を完了できませんでした。もう一度お試しください。,"La connexion a réussi, mais la configuration n’a pas pu être terminée. Réessayez.","Você entrou, mas não foi possível concluir o cadastro. Tente de novo.",AI linguistic pass; human review pending,,
이용 안내를 확인하고 계속해 주세요.,Please review the notice and continue.,이용 안내를 확인하고 계속해 주세요.,利用案内を確認して続けてください。,"Consultez les informations, puis continuez.",Leia as informações e continue.,AI linguistic pass; human review pending,,
로그인이 취소되었습니다.,로그인이 취소되었습니다.,로그인이 취소되었습니다.,ログインをキャンセルしました。,Connexion annulée.,Login cancelado.,AI linguistic pass; human review pending,,
로그인 응답이 올바르지 않습니다.,로그인 응답이 올바르지 않습니다.,로그인 응답이 올바르지 않습니다.,ログインの応答が正しくありません。,Réponse de connexion invalide.,Resposta de login inválida.,AI linguistic pass; human review pending,,
이미 가입된 이메일입니다 — 비밀번호가 일치하지 않습니다.,이미 가입된 이메일입니다 — 비밀번호가 일치하지 않습니다.,이미 가입된 이메일입니다 — 비밀번호가 일치하지 않습니다.,このメールアドレスは登録済みです。パスワードが一致しません。,Cette adresse e-mail est déjà inscrite. Le mot de passe ne correspond pas.,Este e-mail já está cadastrado. A senha não confere.,AI linguistic pass; human review pending,,
보안 난수를 생성하지 못했습니다.,보안 난수를 생성하지 못했습니다.,보안 난수를 생성하지 못했습니다.,安全な乱数を生成できませんでした。,Impossible de générer les données de sécurité.,Não foi possível gerar os dados de segurança.,AI linguistic pass; human review pending,,
자격 증명을 저장하지 못했습니다.,자격 증명을 저장하지 못했습니다.,자격 증명을 저장하지 못했습니다.,認証情報を保存できませんでした。,Impossible d’enregistrer les identifiants.,Não foi possível salvar as credenciais.,AI linguistic pass; human review pending,,
이메일 로그인은 별도 플로우를 사용합니다.,이메일 로그인은 별도 플로우를 사용합니다.,이메일 로그인은 별도 플로우를 사용합니다.,メールでのログイン画面をご利用ください。,Utilisez l’écran de connexion par e-mail.,Use a tela de login por e-mail.,AI linguistic pass; human review pending,,
비밀번호가 올바르지 않습니다.,비밀번호가 올바르지 않습니다.,비밀번호가 올바르지 않습니다.,パスワードが正しくありません。,Mot de passe incorrect.,Senha incorreta.,AI linguistic pass; human review pending,,
state 불일치(보안 검증 실패),state 불일치(보안 검증 실패),state 불일치(보안 검증 실패),セキュリティの確認に失敗しました。,Échec de la vérification de sécurité.,A verificação de segurança falhou.,AI linguistic pass; human review pending,,
브라우저 세션을 시작할 수 없습니다.,브라우저 세션을 시작할 수 없습니다.,브라우저 세션을 시작할 수 없습니다.,ブラウザーを開けませんでした。,Impossible d’ouvrir la session du navigateur.,Não foi possível abrir a sessão do navegador.,AI linguistic pass; human review pending,,
토큰 교환 실패,토큰 교환 실패,토큰 교환 실패,認証トークンを取得できませんでした。,Échec de l’échange de jetons.,A troca de tokens falhou.,AI linguistic pass; human review pending,,
이미 진행 중인 Apple 로그인이 있습니다.,이미 진행 중인 Apple 로그인이 있습니다.,이미 진행 중인 Apple 로그인이 있습니다.,Appleでのログインはすでに進行中です。,Une connexion avec Apple est déjà en cours.,Um login com a Apple já está em andamento.,AI linguistic pass; human review pending,,
네트워크에 연결되어 있지 않습니다.,네트워크에 연결되어 있지 않습니다.,네트워크에 연결되어 있지 않습니다.,インターネットに接続されていません。,Pas de connexion à Internet.,Sem conexão com a internet.,AI linguistic pass; human review pending,,
서버가 설정되지 않았습니다.,서버가 설정되지 않았습니다.,서버가 설정되지 않았습니다.,サーバーが設定されていません。,Le serveur n’est pas configuré.,O servidor não está configurado.,AI linguistic pass; human review pending,,
로그인이 필요합니다.,로그인이 필요합니다.,로그인이 필요합니다.,ログインが必要です。,Connexion nécessaire.,É necessário entrar na conta.,AI linguistic pass; human review pending,,
너무 자주 시도했습니다. 잠시 후 다시 시도해 주세요.,너무 자주 시도했습니다. 잠시 후 다시 시도해 주세요.,너무 자주 시도했습니다. 잠시 후 다시 시도해 주세요.,試行回数が多すぎます。少し待ってからお試しください。,Trop de tentatives. Réessayez dans un moment.,Muitas tentativas. Aguarde um pouco e tente de novo.,AI linguistic pass; human review pending,,
앱을 최신 버전으로 업데이트해 주세요.,앱을 최신 버전으로 업데이트해 주세요.,앱을 최신 버전으로 업데이트해 주세요.,アプリを最新バージョンに更新してください。,Mettez l’app à jour.,Atualize o app para a versão mais recente.,AI linguistic pass; human review pending,,
서버 응답을 처리하지 못했습니다.,서버 응답을 처리하지 못했습니다.,서버 응답을 처리하지 못했습니다.,サーバーの応答を処理できませんでした。,Impossible de traiter la réponse du serveur.,Não foi possível processar a resposta do servidor.,AI linguistic pass; human review pending,,
이미 가입된 이메일입니다.,이미 가입된 이메일입니다.,이미 가입된 이메일입니다.,このメールアドレスは登録済みです。,Cette adresse e-mail est déjà inscrite.,Este e-mail já está cadastrado.,AI linguistic pass; human review pending,,
사용할 수 없는 이메일 주소입니다.,사용할 수 없는 이메일 주소입니다.,사용할 수 없는 이메일 주소입니다.,このメールアドレスは使用できません。,Cette adresse e-mail ne peut pas être utilisée.,Este endereço de e-mail não pode ser usado.,AI linguistic pass; human review pending,,
비밀번호가 너무 약합니다. 6자 이상으로 설정해 주세요.,비밀번호가 너무 약합니다. 6자 이상으로 설정해 주세요.,비밀번호가 너무 약합니다. 6자 이상으로 설정해 주세요.,パスワードは6文字以上にしてください。,Choisissez un mot de passe d’au moins 6 caractères.,Escolha uma senha com pelo menos 6 caracteres.,AI linguistic pass; human review pending,,
검토 중,검토 중,검토 중,審査中,En cours d’examen,Em análise,AI linguistic pass; human review pending,,
수정 요청,수정 요청,수정 요청,修正が必要,Modifications demandées,Alterações solicitadas,AI linguistic pass; human review pending,,
게시됨,게시됨,게시됨,掲載済み,Publié,Publicado,AI linguistic pass; human review pending,,
반려,반려,반려,見送り,Refusé,Não aprovado,AI linguistic pass; human review pending,,
기존 토픽으로 연결됨,기존 토픽으로 연결됨,기존 토픽으로 연결됨,既存のトピックに統合,Rattaché à un sujet existant,Vinculado a um assunto existente,AI linguistic pass; human review pending,,
철회됨,철회됨,철회됨,取り下げ済み,Retiré,Retirado,AI linguistic pass; human review pending,,
상태 확인 중,상태 확인 중,상태 확인 중,状態を確認中,Vérification du statut,Verificando status,AI linguistic pass; human review pending,,
질문은 5~80자로 입력해 주세요.,질문은 5~80자로 입력해 주세요.,질문은 5~80자로 입력해 주세요.,質問は5〜80文字で入力してください。,La question doit contenir de 5 à 80 caractères.,A pergunta deve ter de 5 a 80 caracteres.,AI linguistic pass; human review pending,,
배경 설명은 10~200자로 입력해 주세요.,배경 설명은 10~200자로 입력해 주세요.,배경 설명은 10~200자로 입력해 주세요.,背景の説明は10〜200文字で入力してください。,Le contexte doit contenir de 10 à 200 caractères.,O contexto deve ter de 10 a 200 caracteres.,AI linguistic pass; human review pending,,
서로 다른 점수 기준을 각각 20자 이내로 입력해 주세요.,서로 다른 점수 기준을 각각 20자 이내로 입력해 주세요.,서로 다른 점수 기준을 각각 20자 이내로 입력해 주세요.,異なるスコアの基準を、それぞれ20文字以内で入力してください。,Saisissez deux critères distincts de 20 caractères maximum chacun.,Digite dois critérios diferentes com até 20 caracteres cada.,AI linguistic pass; human review pending,,
뉴스·사건에는 출처가 필요해요.,뉴스·사건에는 출처가 필요해요.,뉴스·사건에는 출처가 필요해요.,ニュースには出典が必要です。,Une source est obligatoire pour les actualités.,Notícias precisam de uma fonte.,AI linguistic pass; human review pending,,
출처는 https://로 시작하는 웹 주소를 입력해 주세요.,출처는 https://로 시작하는 웹 주소를 입력해 주세요.,출처는 https://로 시작하는 웹 주소를 입력해 주세요.,出典にはhttps://で始まるURLを入力してください。,L’adresse de la source doit commencer par https://.,O endereço da fonte deve começar com https://.,AI linguistic pass; human review pending,,
권한이 없습니다.,권한이 없습니다.,권한이 없습니다.,権限がありません。,Vous n’avez pas l’autorisation.,Você não tem permissão.,AI linguistic pass; human review pending,,
이미 존재하는 데이터입니다.,이미 존재하는 데이터입니다.,이미 존재하는 데이터입니다.,このデータはすでに存在します。,Ces données existent déjà.,Esses dados já existem.,AI linguistic pass; human review pending,,
스팸 또는 광고,스팸 또는 광고,스팸 또는 광고,スパム・広告,Spam ou publicité,Spam ou propaganda,AI linguistic pass; human review pending,,
괴롭힘 또는 혐오,괴롭힘 또는 혐오,괴롭힘 또는 혐오,嫌がらせ・差別表現,Harcèlement ou haine,Assédio ou discurso de ódio,AI linguistic pass; human review pending,,
자해 또는 자살 위험,자해 또는 자살 위험,자해 또는 자살 위험,自傷・自殺のおそれ,Risque d’automutilation ou de suicide,Risco de automutilação ou suicídio,AI linguistic pass; human review pending,,
기타,기타,기타,その他,Autre,Outro,AI linguistic pass; human review pending,,
자신을 차단할 수 없습니다.,자신을 차단할 수 없습니다.,자신을 차단할 수 없습니다.,自分自身はブロックできません。,Vous ne pouvez pas vous bloquer vous-même.,Você não pode bloquear a si mesmo.,AI linguistic pass; human review pending,,
알 수 없는 사용자,알 수 없는 사용자,알 수 없는 사용자,不明なユーザー,Utilisateur inconnu,Usuário desconhecido,AI linguistic pass; human review pending,,
홈에 공유하려면 오늘의 이유를 입력해주세요.,홈에 공유하려면 오늘의 이유를 입력해주세요.,홈에 공유하려면 오늘의 이유를 입력해주세요.,ホームに共有するには、今日のメモを入力してください。,Ajoutez une note sur votre journée pour partager dans Accueil.,Adicione uma anotação sobre hoje para compartilhar no Início.,AI linguistic pass; human review pending,,
이름 없음,이름 없음,이름 없음,名前なし,Sans nom,Sem nome,AI linguistic pass; human review pending,,
일별,일별,일별,日ごと,Par jour,Por dia,AI linguistic pass; human review pending,,
주별,주별,주별,週ごと,Par semaine,Por semana,AI linguistic pass; human review pending,,
월별,월별,월별,月ごと,Par mois,Por mês,AI linguistic pass; human review pending,,
약관 전문 · 동의 관리,Documents and consent settings,약관 전문 · 동의 관리,規約全文・同意の管理,Documents et consentements,Documentos e consentimentos,AI linguistic pass; human review pending,,
"

기기의 기록은 그대로 있습니다. 잠시 후 다시 시도해 주세요.","

기기의 기록은 그대로 있습니다. 잠시 후 다시 시도해 주세요.","

기기의 기록은 그대로 있습니다. 잠시 후 다시 시도해 주세요.","

端末の記録は残っています。少し待ってからお試しください。","

Les entrées sur l’appareil sont conservées. Réessayez dans un moment.","

Os registros no aparelho foram mantidos. Tente de novo em alguns instantes.",AI linguistic pass; human review pending,,
로그인 필요,로그인 필요,로그인 필요,ログインが必要,Connexion nécessaire,Login necessário,AI linguistic pass; human review pending,,
대기 중,대기 중,대기 중,待機中,En attente,Aguardando,AI linguistic pass; human review pending,,
게스트 세션,게스트 세션,게스트 세션,ゲストセッション,Session invité,Sessão de visitante,AI linguistic pass; human review pending,,
목록을 불러올 수 없어요.,목록을 불러올 수 없어요.,목록을 불러올 수 없어요.,一覧を読み込めませんでした。,Impossible de charger la liste.,Não foi possível carregar a lista.,AI linguistic pass; human review pending,,
차단 해제에 실패했어요. 다시 시도해주세요.,차단 해제에 실패했어요. 다시 시도해주세요.,차단 해제에 실패했어요. 다시 시도해주세요.,ブロックを解除できませんでした。もう一度お試しください。,Impossible de débloquer cette personne. Réessayez.,Não foi possível desbloquear. Tente de novo.,AI linguistic pass; human review pending,,
인기 사용자,인기 사용자,인기 사용자,人気のユーザー,Profils populaires,Perfis populares,AI linguistic pass; human review pending,,
추천 사용자,추천 사용자,추천 사용자,おすすめのユーザー,Profils suggérés,Perfis sugeridos,AI linguistic pass; human review pending,,
추천 콘텐츠,추천 콘텐츠,추천 콘텐츠,おすすめの投稿,Contenu suggéré,Conteúdo sugerido,AI linguistic pass; human review pending,,
나,나,나,自分,Moi,Eu,AI linguistic pass; human review pending,,
점수를 불러오지 못했어요. 다시 시도해 주세요.,점수를 불러오지 못했어요. 다시 시도해 주세요.,점수를 불러오지 못했어요. 다시 시도해 주세요.,スコアを読み込めませんでした。もう一度お試しください。,Impossible de charger les scores. Réessayez.,Não foi possível carregar as notas. Tente de novo.,AI linguistic pass; human review pending,,
토픽을 열지 못했어요. 다시 시도해 주세요.,토픽을 열지 못했어요. 다시 시도해 주세요.,토픽을 열지 못했어요. 다시 시도해 주세요.,トピックを開けませんでした。もう一度お試しください。,Impossible d’ouvrir le sujet. Réessayez.,Não foi possível abrir o assunto. Tente de novo.,AI linguistic pass; human review pending,,
숨김 또는 차단된 토픽은 볼 수 없어요.,숨김 또는 차단된 토픽은 볼 수 없어요.,숨김 또는 차단된 토픽은 볼 수 없어요.,非表示またはブロックされたトピックは閲覧できません。,Les sujets masqués ou bloqués ne sont pas accessibles.,Assuntos ocultos ou bloqueados não podem ser vistos.,AI linguistic pass; human review pending,,
기록되었습니다. 세계가 같이 느낍니다.,기록되었습니다. 세계가 같이 느낍니다.,기록되었습니다. 세계가 같이 느낍니다.,記録しました。世界のスコアに加わります。,Enregistré. Votre score rejoint les résultats mondiaux.,Registrado. Sua nota entra no resultado mundial.,AI linguistic pass; human review pending,,
Scoor 기록 완료.,Scoor 기록 완료.,Scoor 기록 완료.,Scoorを記録しました。,Scoor enregistré.,Scoor registrado.,AI linguistic pass; human review pending,,
소개,소개,소개,自己紹介,Bio,Bio,AI linguistic pass; human review pending,,
